Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AGO^F,Assured Guaranty Ltd.,25.8799,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ago^f
AF,Astoria Financial Corporation,15.71,1592071257,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/af
AF^C,Astoria Financial Corporation,26.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/af^c
AZN,Astrazeneca PLC,33.04,83591200000,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/azn
HOME,At Home Group Inc.,12.1,719995096.7,n/a,2016,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/home
T,AT&T Inc.,41.19,2.53401E+11,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/t
ATTO,Atento S.A.,9.87,727923663,n/a,2014,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/atto
ATKR,Atkore International Group Inc.,18.01,1124875190,n/a,2016,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atkr
AT,Atlantic Power Corporation,2.58,310912487.3,n/a,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/at
ATO,Atmos Energy Corporation,75.39,7829090015,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/ato
ATW,"Atwood Oceanics, Inc.",8.4,544322965.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/atw
AUO,AU Optronics Corp,3.81,3666837387,n/a,2002,Technology,Semiconductors,http://www.nasdaq.com/symbol/auo
ATHM,Autohome Inc.,23.5,2656782395,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/athm
ALV,"Autoliv, Inc.",107.5,9483491438,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alv
AN,"AutoNation, Inc.",49.31,5034018699,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/an
AZO,"AutoZone, Inc.",729.38,21321258771,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/azo
AVB,"AvalonBay Communities, Inc.",175.94,24158946867,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/avb
AGR,"Avangrid, Inc.",42.33,13080121922,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/agr
ACP,Avenue Income Credit Strategies Fund,12.81,167478862.3,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/acp
AVY,Avery Dennison Corporation,77.62,6897086860,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/avy
AVG,AVG Technologies N.V.,24.91,1261250917,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avg
AVH,Avianca Holdings S.A.,7.13,888564920.4,n/a,2013,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/avh
AVA,Avista Corporation,41.94,2671831192,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ava
AV,Aviva plc,11.91,24165390000,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/av
AVV,Aviva plc,25.59,0,n/a,2011,Finance,Life Insurance,http://www.nasdaq.com/symbol/avv
AVT,"Avnet, Inc.",41.37,5269119878,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/avt
AVP,"Avon Products, Inc.",5.85,2556562115,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/avp
AVX,AVX Corporation,13.75,2302485515,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/avx
AXTA,Axalta Coating Systems Ltd.,28.64,6848691735,n/a,2014,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/axta
AXS,Axis Capital Holdings Limited,56.93,5162032677,n/a,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/axs
AXS^C,Axis Capital Holdings Limited,26.07,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axs^c
AXS^D,Axis Capital Holdings Limited,26.66,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axs^d
AZZ,AZZ Inc.,65.39,1695660654,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/azz
BGS,"B&G Foods, Inc.",46.52,2914771727,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bgs
BW,Babcock,17.03,851209263.8,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/bw
MCI,Babson Capital Corporate Investors,18.98,374360134.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mci
BGH,Babson Capital Global Short Duration High Yield Fund,18.91,379293924.6,n/a,2012,n/a,n/a,http://www.nasdaq.com/symbol/bgh
MPV,Babson Capital Participation Investors,15.85,164142394,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/mpv
BMI,"Badger Meter, Inc.",65.75,956564072.3,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bmi
BHI,Baker Hughes Incorporated,51.29,21947063473,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/bhi
BBN,BalckRock Taxable Municipal Bond Trust,24.96,1425299591,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/bbn
BLL,Ball Corporation,80.1,13955703491,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/bll
BGE^B,Baltimore Gas & Electric Company,26.46,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bge^b
BANC,"Banc of California, Inc.",22.02,1094945469,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/banc
BANC^C,"Banc of California, Inc.",27.1,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banc^c
BANC^D,"Banc of California, Inc.",27.01,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banc^d
BANC^E,"Banc of California, Inc.",26.66,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banc^e
BBVA,Banco Bilbao Viscaya Argentaria S.A.,6.46,41860800000,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bbva
BBD,Banco Bradesco Sa,9.39,51944401080,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbd
BBDO,Banco Bradesco Sa,9.4,51999719931,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbdo
BCH,Banco De Chile,67.47,11051073565,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bch
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",29.26,1143936759,n/a,1992,Finance,Commercial Banks,http://www.nasdaq.com/symbol/blx
BSBR,Banco Santander Brasil SA,7.1,54335803000,n/a,2009,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bsbr
BSAC,Banco Santander Chile,21.34,10053599435,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bsac
SAN,"Banco Santander, S.A.",4.73,68275149899,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/san
SAN^A,"Banco Santander, S.A.",26.11,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/san^a
SAN^B,"Banco Santander, S.A.",24,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/san^b
SAN^C,"Banco Santander, S.A.",25.88,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/san^c
SAN^I,"Banco Santander, S.A.",25.45,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/san^i
CIB,BanColombia S.A.,42.07,10116015473,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/cib
BXS,"BancorpSouth, Inc.",24.59,2325397342,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bxs
BAC,Bank of America Corporation,15.86,1.61848E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bac
BAC.WS.A,Bank of America Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac.ws.a
BAC.WS.B,Bank of America Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac.ws.b
BAC^A,Bank of America Corporation,27.05,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^a
BAC^C,Bank of America Corporation,27.19,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^c
BAC^D,Bank of America Corporation,25.81,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^d
BAC^E,Bank of America Corporation,24.49,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^e
